trade_id,timestamp_utc,run_type,action,symbol,sleeve,instrument,direction,counter_trend,sector,ai_theme,risk_level,mode,qty,fill_price,notional,effective_exposure,stop,r_target,atr14,rsi14,rsi2,ema8,ema21,sma50,sma200,pct_from_52w_high,pct_52w_range,pe_ratio,composite_rank,adx14,rel_options_volume,trigger,relative_volume,momentum_test_would_pass,news_sentiment,social_score,social_label,social_msg_volume,earnings_days_away,regime,strike,expiration,delta_at_entry,iv_at_entry,dte_at_entry,underlying_price,exit_rule,realized_pnl,r_multiple,nav_after,notes
TECH-20260810-1,2026-08-10T18:42:06Z,midday,reject,TECH,stock,equity,bullish,false,,,,LONG,,,,,,,0.6300032839965681,73.65396050585794,,72.03363852472596,70.90934678648169,64.7845,59.9093,,0.990579,103.619650,0.74436,59.71228831563106,0.6059781444557817,breakout,,,UNAVAILABLE,,,,,risk-on,,,,,,,,,,,"Tier 3 momentum test failed: EMA8-EMA21 spread over last 5 sessions was 1.5696,1.4470,1.3192,1.1891,1.1243 (most recent) — narrowing, not the widest of the 5. Decelerating breakout, dropped per strategy.md Tier 3 rule. Passed Tier 1 (trend template) and Tier 2 (breakout trigger: price within 2% of new 52wk high $72.39 set today, EMA8>EMA21)."
TXG-20260810-1,2026-08-10T18:42:06Z,midday,reject,TXG,stock,equity,bullish,false,,,,LONG,,,,,,,3.106769154158229,67.74940176296712,,48.00321098460309,45.57951695050232,38.9354,24.25105,,0.991848,-88.230000,0.69508,39.14701561046654,3.870370774099436,breakout,,,UNAVAILABLE,,,,,risk-on,,,,,,,,,,,"Tier 3 momentum test failed: EMA8-EMA21 spread over last 5 sessions was 2.6499,2.5307,2.3427,1.9182,2.4237 (most recent) — most recent not greater than all four priors (esp. Aug3's 2.6499). Decelerating/choppy breakout, dropped per strategy.md Tier 3 rule. Passed Tier 1 (trend template) and Tier 2 (breakout trigger: price within 2% of new 52wk high $59.00 set today, EMA8>EMA21)."
TECH-20260810-2,2026-08-10T19:41:49Z,close,reject,TECH,stock,equity,bullish,false,,,,LONG,,,,,,,0.6300032840485258,73.6539605098108,,72.03363852472596,70.9093467864817,64.7845,59.9093,,0.992293,103.619650,0.7287,59.71228831563106,0.608263286584343,breakout,,,UNAVAILABLE,,,,,risk-on,,,,,,,,,,,"Tier 3 momentum test failed: EMA8-EMA21 spread over last 5 sessions was 1.5696,1.4470,1.3192,1.1891,1.1243 (most recent) — narrowing, not the widest of the 5. Decelerating breakout, dropped per strategy.md Tier 3 rule. Passed Tier 1 (trend template) and Tier 2 (breakout trigger: price within 0.31% of new 52wk high $72.39 set today, EMA8>EMA21). Same indicator readings as this morning's midday reject (TECH-20260810-1) since daily bars have not rolled since Fri 2026-08-07 close; identical Tier 3 outcome."
IMAX-20260810-1,2026-08-10T19:41:49Z,close,reject,IMAX,stock,equity,bullish,false,,,,LONG,,,,,,,1.958525151728353,63.39497320391113,,48.66301124488278,45.59823322677659,42.2032,37.88835,,0.969891,69.834315,0.7597,36.58510408400652,0.761002862882214,breakout,,,UNAVAILABLE,,,,,risk-on,,,,,,,,,,,"Tier 3 momentum test failed: EMA8-EMA21 spread over last 5 sessions was 3.2059,3.5001,3.5547,3.4033,3.0648 (most recent) — peaked Aug 5, now the narrowest of the 5. Decelerating/rolling-over breakout, dropped per strategy.md Tier 3 rule. Passed Tier 1 (trend template) and Tier 2 (breakout trigger: price within 1.60% of 52wk high $51.60, EMA8>EMA21)."
TSLA-20260811-1,2026-08-11T14:01:00Z,morning,reject,TSLA,stock,equity,bearish,true,Consumer Durables,false,NORMAL,LONG,,,,,,,,42.521985925539234,,325.0646493458852,340.4383734072387,378.21659999999974,408.2371250000001,,0.180343,299.247422,,29.90367585773817,0.632702086986396,,,,,,,,,risk-on,,,,,,,,,,10000,"Counter-trend gate 2 (ADX(14) > 30, direct regular-session call) failed: 29.90 < 30 threshold. Passed Tier 1 bearish trend template (price<SMA50<SMA200; relative-weakness proxy 0.180, well within the 0.25 counter-trend bar) but SPY is in LONG regime so this bearish setup is counter-trend and needs all 5 gates. Scan-column ADX (29.90) and this direct measurement landed within 0.001 of each other today (unusual vs. the documented 7-12pt divergence, e.g. TECH/FTNT), but both still fail the 30 threshold, so the source discrepancy was not decision-relevant this time. Dropped per policy, never downgraded (SPY regime is LONG, so no non-counter-trend bearish path exists). Would also have failed Tier 2 SHORT-mode triggers had it advanced: breakdown_52w needs price within 2% of low52 ($303.33) vs actual $333.71; breakdown_20d needs price below prior bars Donchian lower ($297.38) vs actual $333.71; rally_to_resistance needs RSI 55-65 vs actual 42.52."
ACAD-20260811-1,2026-08-11T18:45:00Z,midday,open,ACAD,stock,equity,bullish,false,Health Technology,false,NORMAL,LONG,45,29.49,1327.05,1327.05,28.6053,31.2594,0.9531691063432729,73.7559981045226,,27.960922835960115,26.627112191268566,24.457899999999984,23.848175000000037,,0.972195,11.661051,0.98332,45.364433108362185,0.32577465520697496,breakout_52w,1.564951,true,0.293125,NO_COVERAGE,NO_COVERAGE,NO_COVERAGE,85,risk-on,,,,,,,,,,10000.00,"Tier 0 rank via $20M/day dollar-volume screen + ADX rank (scan ADX 45.36, not ai_theme). Tier 1 trend template PASS (29.48>SMA50 24.46>SMA200 23.85; pct_52w_range 0.972). Value/momentum composite 0.983, ranked #1 of 10 Tier 1 survivors (10 passed both-direction template check this run: TECH,CDNA,OGN,FBP,ATAI,PAYO,LIND,ACAD,CRWD,LXP; top 8 advanced, LIND/CRWD cut). Tier 2 breakout_52w: price $29.48 within 0.94% of new 52wk high $29.76 set today; EMA8 27.96>EMA21 26.63; volume confirmation relative_volume=1.565 (last completed session 2,726,434 sh / 30d avg 1,742,252) >=1.4 threshold -- PASS. Tier 3: news_sentiment avg ticker score +0.293 across last 10 AV articles (Somewhat-Bullish, not negative) -- PASS. get_earnings_results: strong PEAD tailwind, beat estimates 5 of last 7 quarters incl. most recent (2026-08-04: actual 0.18 vs est 0.04, a 350% surprise), consistent with the post-earnings uptrend into today's new 52wk high. Stocktwits get_sentiment unavailable this run (connector not authenticated per system) -- logged NO_COVERAGE, not a data gap on Stocktwits' end. Momentum test (logged, non-gating): EMA8-EMA21 spread widened every session Aug4-Aug10 (0.555,0.861,1.014,1.202,1.334) -- most recent IS the widest -- would_pass=true. Sizing: stop_distance=min(1.5x ATR14 1.4298, 3% floor 0.8847)=0.8847 (3% floor binds). risk_budget 0.4% NAV=$40, shares_risk=floor(40/0.8847)=45, shares_cap=floor(0.15x10000/29.49)=50 -- shares_risk<=shares_cap -> PLAIN EQUITY per mechanical rule. Chase-protection: signal_price $29.48 -> entry_price(ask) $29.49, moved $0.01 vs 0.5xstop_distance=$0.44 threshold -- clear. Spread 29.48/29.49 = 0.034% of mid, well under 0.5% cap. Depth: 368 sh resting at best ask vs 45 sh order -- ample. Fill simulated as marketable limit at ask $29.49."
PAYO-20260811-1,2026-08-11T18:45:05Z,midday,open,PAYO,stock,equity,bullish,false,Commercial Services,false,NORMAL,LONG,211,7.10,1498.10,1498.10,7.0190,7.2620,0.05406753328471244,58.919896047126514,,7.113081959749718,7.077899615795746,6.795499999999989,5.702299999999999,,0.970451,36.128049,0.80484,47.85713197363693,0.05013089734306229,breakout_52w,1.512692,false,-0.002017,NO_COVERAGE,NO_COVERAGE,NO_COVERAGE,85,risk-on,,,,,,,,,,10000.00,"Tier 0 rank via $20M/day dollar-volume screen + ADX rank (scan ADX 47.86, not ai_theme). Tier 1 trend template PASS (7.09>SMA50 6.80>SMA200 5.70; pct_52w_range 0.970). Value/momentum composite 0.805, ranked #5 of 10 Tier 1 survivors (see ACAD row for the full survivor list). Tier 2 breakout_52w: price $7.09 within 1.25% of 52wk high $7.18 (set 2026-07-28, not a fresh high); EMA8 7.113>EMA21 7.078; volume confirmation relative_volume=1.513 (last completed session 6,666,693 sh / 30d avg 4,407,706) >=1.4 threshold -- PASS. Tier 3: news_sentiment avg ticker score -0.002 across last 10 AV articles (borderline Neutral by AV's -0.15/+0.15 bucket, technically not negative -- PASS the literal gate) but flagged as a genuine caveat: 3 of the 10 most recent articles are explicitly Somewhat-Bearish, clustered right after the 2026-08-06 earnings miss, with no bullish coverage since. get_earnings_results: soft-negative PEAD read -- missed estimates in 6 of the last 7 quarters, including the most recent and largest miss (2026-08-06: actual -0.01 vs est 0.06, swung to a loss). This is a weaker, more mixed signal than ACAD despite clearing the same mechanical gates. Stocktwits get_sentiment unavailable this run (connector not authenticated) -- logged NO_COVERAGE. Momentum test (logged, non-gating): EMA8-EMA21 spread narrowed every session Aug4-Aug10 (0.0665,0.0589,0.0509,0.0430,0.0352) -- most recent is the NARROWEST -- would_pass=false, consistent with the soft-negative earnings/sentiment read on this name. Sizing: stop_distance=min(1.5x ATR14 0.0810, 3% floor 0.213)=0.0810 (ATR binds). risk_budget 0.4% NAV=$40, shares_risk=floor(40/0.0810)=493, shares_cap=floor(0.15x10000/7.10)=211 -- shares_risk>shares_cap, cap binds, position under-risked (~0.171% NAV actual risk vs 0.4% target). No leveraged ETF exists for this name -> plain equity per mechanical rule, accepting the under-risked position rather than forcing a wrong instrument. Chase-protection: signal_price $7.09 -> entry_price(ask) $7.10, moved $0.01 vs 0.5xstop_distance=$0.041 threshold -- clear (borderline but within). Spread 7.09/7.10=0.141% of mid, under 0.5% cap. Depth: 61,499 sh resting at best ask vs 211 sh order -- ample. Fill simulated as marketable limit at ask $7.10."
PAYO-20260811-1,2026-08-12T14:05:39Z,monitor,close,PAYO,stock,equity,bullish,false,Commercial Services,false,,,211,7.09,1495.99,1495.99,7.0190,7.2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trend_break,-2.11,-0.123,9997.44,"Closed on trend_break: last completed session (2026-08-11) closed $7.09, below SMA(20) $7.12 pulled via get_equity_technical_indicators. This exit is caused by the 2026-08-11 rule change (stock-sleeve trend MA moved from SMA50 to SMA20, applied to already-open positions per user decision), not a new market event -- PAYO remains well above the SMA(50) $6.80 it was entered under. Original stop $7.0190 not breached (current bid $7.09); R-target $7.2620 not reached; no higher-priority exit condition fired, so trend_break is the correct exit_rule per precedence order. Sold at bid $7.09 (never midpoint, per gates.md execution rules). realized_pnl = 211*(7.09-7.10) = -$2.11; r_multiple = -2.11 / (211*(7.10-7.0190)=$17.09 initial risk) = -0.123R."
CIB-20260812-1,2026-08-12T18:42:07Z,midday,reject,CIB,stock,equity,bullish,false,Finance,false,NORMAL,LONG,,,,,,,3.2102856231472146,74.8401713336732,,91.82183181785264,88.29341208617207,82.1536,72.0855,0.048621,0.907354,46.345185,,45.17240908844415,0,momentum_vol,2.600174,true,0.154121,NO_COVERAGE,NO_COVERAGE,NO_COVERAGE,,risk-on,,,,,,,,,,10000.14,"Tier 0 rank via $20M/day dollar-volume screen + ADX rank (scan ADX 45.17, not ai_theme). Tier 1 trend template PASS (95.84>SMA20 87.80>SMA50 82.15>SMA200 72.09; pct_52w_range 0.907). Tier 2: no level test passed (price below prior-bar Donchian upper 100.736) but EMA8 91.82>EMA21 88.29 and volume confirmation relative_volume=2.600 (last completed session 805,131 sh / 30d avg 309,673) -- momentum_vol trigger fires. Tier 3: news_sentiment avg ticker score +0.154 across last 50 AV articles (Somewhat-Bullish edge, not negative), skewed strongly positive in the most recent days incl. Q2 earnings-call highlights (reported 2026-08-10 pm, actual not yet posted by AV but the Aug 11 price gap +8.2% and bullish post-earnings coverage indicate a beat) -- PASS. get_earnings_results: next report 2026-11-09, no blackout conflict. Stocktwits unavailable (connector not authenticated) -- NO_COVERAGE. Momentum test (logged, non-gating): EMA8-EMA21 spread 3.412,3.165,2.742,2.732,3.529 (Aug5-11) -- most recent IS the widest -- would_pass=true. Sizing would have been: stop_distance=min(1.5xATR14 4.815, 3% floor 2.901)=2.901 (3% floor binds off entry $96.70); risk_budget 0.4% NAV=$40, shares_risk=floor(40/2.901)=13, shares_cap=floor(0.15x10000.14/96.70)=15 -- risk binds, plain equity. REJECTED AT EXECUTION: fresh quote at fill time showed bid $96.02 / ask $96.70, spread = (96.70-96.02)/96.36 = 0.706% of mid -- exceeds the 0.5%-of-mid liquidity cap (gates.md execution gate). Skipped per the mechanical spread rule rather than crossing a wide, likely earnings-reaction-distorted spread. Signal price at Tier 2/3 evaluation was $95.84; by fill time (~4 min later) the spread had widened past the cap, consistent with continued post-earnings volatility in a Colombian-ADR name."
CVS-20260812-1,2026-08-12T18:43:45Z,midday,open,CVS,mean_reversion,equity,bullish,false,Retail Trade,false,NORMAL,LONG,8,94.85,758.80,758.80,90.35,N/A,3.0005252280455794,,0.560467,,,,85.1673,0.143122,0.658504,46.271737,,,,mr_reversal,,,0.087578,NO_COVERAGE,NO_COVERAGE,NO_COVERAGE,,risk-on,,,,,,,,,,10000.14,"Mean-reversion sleeve, second pass reusing the Tier 0 scan response. Step 1: from rows clearing $20M/day dollar-volume, took 10 lowest scan RSI(14): GOLF,AMX,BHF,ROL,ALHC,CVS,NI,PGNY,CHRW,CRUS. Step 2: RSI(2) on last completed session (Aug 11) computed for all 10 -- 5 qualified <15: GOLF 2.50, AMX 11.06, BHF 3.21, CVS 0.560, PGNY 0.393 (ROL 27.81, ALHC 20.89, NI 28.93, CHRW 16.24, CRUS 21.17 all failed). Step 3 (survivors only): Tier1-MR price>SMA200 check -- GOLF ($90.58<SMA200 $93.70), AMX ($23.305<$24.118), BHF ($60.00<$62.444) all FAILED (below long-term trend, falling-knife exclusion); CVS ($94.835>$85.167) and PGNY ($25.57>$23.682) PASSED. No earnings within 3 days for either (reused the shared get_earnings_calendar days=3/high_market_cap result -- neither appears). Tier2-MR mr_reversal trigger: CVS Aug11 close $93.50, current price $94.835 -- up-close CONFIRMED, trigger fires. PGNY Aug11 close $26.57, current price $25.57 -- still below the oversold close, NO up-close -- trigger does not fire, dropped (not logged, Tier2 non-gate decline). Tier3-MR CVS: news_sentiment avg ticker score +0.088 across last 50 AV articles (not negative, not UNAVAILABLE) -- PASS; most recent 5 articles today (Aug 12) all positive (JPMorgan positive forecast, GLP-1 coverage, institutional buys), no negative articles today despite some bearish items earlier in the week (guidance disappointment Aug 6, pharmacy walkout coverage, Warren healthcare-concentration comment). No volume confirmation required for MR sleeve (declining-volume bounces are the healthy case). Sizing: stop_distance=1.5xATR14=1.5x3.0005=4.5008 (MR sleeve EXEMPT from 3% ceiling per gates.md 2026-08-12 exception -- ATR is 3.16% of price, a 3% stop would sit inside one avg day's range). risk_budget 0.4% NAV=$40.00, shares_risk=floor(40/4.5008)=8, shares_cap=floor(0.15x10000.14/94.85)=15 -- shares_risk<=shares_cap, PLAIN EQUITY (risk budget binds). Chase-protection: signal_price $94.835 -> entry_price(ask) $94.85, moved $0.015 vs 0.5xstop_distance=$2.25 threshold -- clear. Spread $94.82/$94.85=0.032% of mid, well under 0.5% cap. Depth: 116 sh resting at best ask vs 8 sh order -- ample. Fill simulated as marketable limit at ask $94.85. Sector Retail Trade, 1 of 3 (no conflict, ACAD is Health Technology). 1 of 2 mean_reversion slots used. Exits (MR-specific, no R-target/no EMA21 trail): stop $90.35 -> mr_target (RSI2>70) -> trend_break (close<SMA200 $85.167, will be re-measured each run) -> 5-trading-day time-stop."
